BASEL_cloud_cover,BASEL_humidity,BASEL_pressure,BASEL_global_radiation,BASEL_precipitation,BASEL_sunshine,BASEL_temp_mean,BASEL_temp_min,BASEL_temp_max
7,0.85,1.018,0.32,0.09,0.7,6.5,0.8,10.9
6,0.84,1.018,0.36,1.05,1.1,6.1,3.3,10.1
8,0.9,1.018,0.18,0.3,0.0,8.5,5.1,9.9
3,0.92,1.018,0.58,0.0,4.1,6.3,3.8,10.6
6,0.95,1.018,0.65,0.14,5.4,3.0,-0.7,6.0
1,0.78,1.018,0.76,0.0,7.7,1.5,-1.8,6.4
3,0.87,1.018,0.66,0.0,5.4,-0.4,-4.5,6.1
8,0.95,1.018,0.19,0.09,0.0,0.9,-2.2,2.6
8,0.98,1.018,0.19,0.56,0.0,-2.4,-4.9,1.5
3,0.74,1.018,0.38,0.01,1.1,-6.9,-10.6,-3.4
3,0.8,1.018,0.72,0.39,6.2,-7.6,-15.9,-2.7
8,0.93,1.018,0.24,0.23,0.1,-6.4,-7.8,-4.7
7,0.82,1.018,0.59,0.0,3.7,-10.4,-13.0,-2.3
4,0.84,1.018,0.71,0.0,5.7,-12.5,-19.2,-8.2
6,0.89,1.018,0.48,0.0,2.0,-12.7,-14.6,-8.8
3,0.85,1.018,0.56,0.0,2.9,-13.1,-17.9,-5.0
8,0.82,1.018,0.38,0.0,0.8,-6.7,-16.2,-4.5
8,0.88,1.018,0.21,0.0,0.0,-3.3,-6.4,-1.9
6,0.75,1.018,0.62,0.14,3.5,-0.7,-3.9,1.4
8,0.69,1.018,0.51,0.14,2.0,3.7,-1.0,6.4
8,0.98,1.018,0.22,0.26,0.0,2.0,0.2,3.3
6,0.93,1.018,0.87,0.0,7.5,3.8,0.8,9.4
5,0.94,1.018,0.66,0.0,3.8,2.9,-0.5,5.2
6,0.8,1.018,0.65,0.22,3.5,6.6,1.9,10.3
8,0.98,1.018,0.23,0.57,0.0,6.0,4.6,7.9
7,0.96,1.018,0.23,0.35,0.0,5.1,1.0,7.2
8,0.96,1.018,0.24,0.09,0.0,6.2,4.4,8.5
8,0.84,1.018,0.3,0.0,0.1,7.1,4.4,10.3
7,0.67,1.018,0.56,0.0,1.9,4.8,3.4,7.2
5,0.76,1.018,0.97,0.0,7.8,3.3,0.3,9.9
3,0.77,1.018,0.74,0.0,3.9,2.5,-1.6,7.6
8,0.98,1.018,0.25,0.15,0.0,0.1,-2.7,2.8
4,0.89,1.018,0.77,0.0,4.1,3.2,0.3,9.6
5,0.8,1.018,0.45,0.0,0.7,2.9,-1.1,6.4
