BELGRADE_cloud_cover,BELGRADE_humidity,BELGRADE_pressure,BELGRADE_global_radiation,BELGRADE_precipitation,BELGRADE_sunshine,BELGRADE_temp_mean,BELGRADE_temp_min,BELGRADE_temp_max
1,0.81,1.0195,0.88,0.0,7.0,3.7,-0.9,7.9
6,0.84,1.0172,0.25,0.0,0.0,2.9,2.2,4.4
6,0.77,1.0179,0.67,0.0,3.5,3.1,-0.5,6.4
8,0.93,1.0268,0.25,0.0,0.0,2.0,-2.0,3.0
8,0.99,1.0286,0.25,0.06,0.0,2.0,0.7,2.8
8,0.84,1.0179,0.61,0.64,2.5,1.5,0.3,4.6
8,0.92,1.0141,0.25,0.35,0.0,1.9,0.0,3.6
6,0.93,1.0149,0.26,0.14,0.0,0.6,-0.2,2.2
8,0.71,1.0082,0.49,0.46,1.2,3.2,-1.8,4.6
8,0.92,1.0136,0.26,0.02,0.0,-4.4,-5.5,4.3
7,0.83,1.0116,0.32,0.0,0.1,-5.5,-7.6,-4.1
8,0.86,0.9969,0.26,0.75,0.0,-3.5,-5.7,-0.8
8,0.84,1.0009,0.27,0.17,0.0,-4.8,-6.6,-3.6
3,0.9,1.011,0.27,0.11,0.0,-7.9,-10.1,-4.5
1,0.91,1.0162,0.5,0.0,1.1,-6.9,-11.1,-2.9
8,0.91,1.0136,0.27,0.05,0.0,-8.3,-8.8,-7.1
8,0.94,1.0157,0.28,1.29,0.0,-5.7,-8.6,-5.0
8,0.94,1.0113,0.28,0.07,0.0,-4.9,-6.4,-4.5
0,0.74,1.0208,0.98,0.0,6.9,-2.3,-7.3,2.9
5,0.65,1.0183,0.88,0.2,5.1,2.5,-6.5,8.0
0,0.8,1.0223,0.91,0.0,5.4,-0.1,-2.6,4.2
2,0.79,1.0312,1.05,0.0,7.5,-3.9,-6.2,1.2
1,0.81,1.0301,1.07,0.0,7.6,-5.2,-10.1,-0.6
0,0.78,1.0277,1.01,0.0,6.6,-1.8,-9.1,1.5
4,0.72,1.0232,0.78,0.0,3.3,1.9,-3.7,4.0
6,0.63,1.0216,0.96,0.0,5.5,7.4,1.9,10.0
5,0.62,1.0209,1.01,0.0,6.1,9.6,5.5,14.3
6,0.55,1.0193,0.69,0.0,2.1,12.2,7.3,15.3
5,0.49,1.019,0.52,0.0,0.7,12.9,8.9,17.4
5,0.89,1.0294,0.63,0.27,1.4,2.3,0.8,12.7
7,0.8,1.0276,0.95,0.0,4.7,0.6,-1.3,5.5
3,0.59,1.0341,1.11,0.0,6.7,-5.2,-6.7,-0.6
0,0.7,1.0373,1.18,0.0,7.6,-8.5,-11.9,-5.4
1,0.7,1.0341,1.09,0.0,6.1,-7.1,-11.4,-2.9
1,0.75,1.0288,1.13,0.0,6.5,-8.1,-11.5,-2.9
1,0.63,1.0267,1.26,0.0,8.2,-7.9,-10.1,-5.0
7,0.66,1.0296,0.89,0.0,3.3,-6.6,-8.6,-4.0
8,0.67,1.0367,0.6,0.0,0.8,-7.4,-8.3,-5.8
5,0.67,1.0387,0.58,0.0,0.7,-6.0,-8.3,-3.7
3,0.7,1.0337,0.87,0.0,2.8,-4.6,-10.1,-0.6
6,0.76,1.017,0.84,0.16,2.4,-3.2,-6.4,-0.2
4,0.78,1.0133,1.17,0.0,5.8,3.6,-2.8,7.9
6,0.59,1.0052,0.45,0.0,0.1,6.9,2.6,8.9
3,0.6,1.006,1.35,0.15,7.7,10.4,3.9,15.3
6,0.6,1.0048,1.14,0.0,5.0,9.9,6.5,17.0
8,0.94,1.0072,0.4,0.24,0.0,2.9,2.1,7.0
6,0.9,1.0097,0.4,0.0,0.0,1.7,0.4,4.5
8,0.7,1.0026,0.52,0.82,0.2,6.8,-0.4,10.0
6,0.87,1.0008,0.41,0.03,0.0,8.1,6.0,10.5
7,0.64,1.0049,0.5,0.17,0.1,13.6,7.7,16.2
8,0.89,1.0137,0.42,0.19,0.0,6.2,5.4,13.0
8,0.9,1.0169,0.43,0.04,0.0,6.1,4.3,7.3
8,0.77,1.013,1.21,0.25,4.6,9.8,3.5,13.7
7,0.77,1.0026,0.76,0.13,1.0,10.6,8.3,15.4
4,0.7,1.0113,1.19,0.0,4.1,8.3,5.9,11.7
2,0.68,1.0143,1.57,0.18,8.1,7.9,1.5,13.8
7,0.84,1.0139,0.7,0.16,0.6,8.2,6.3,12.7
3,0.81,1.0255,1.3,0.0,4.8,3.6,2.1,6.9
7,0.84,1.0281,0.56,0.0,0.1,5.1,-0.4,9.0
5,0.65,1.0159,1.54,0.0,6.9,12.4,5.7,18.4
8,0.93,1.0117,0.44,0.02,0.0,7.0,3.6,11.4
8,0.91,1.0144,0.45,0.12,0.0,6.6,5.4,7.7
8,0.89,1.0159,0.45,0.11,0.0,4.8,4.4,7.0
6,0.86,1.0168,0.89,0.0,1.6,4.5,3.0,8.4
7,0.87,1.0209,0.46,0.08,0.0,2.4,0.8,6.5
6,0.69,1.0235,1.51,0.0,6.2,-0.5,-2.0,2.9
6,0.66,1.0217,1.68,0.0,7.7,-1.0,-3.4,2.9
8,0.71,1.019,0.91,0.0,1.5,-1.9,-3.9,0.8
2,0.61,1.0197,1.86,0.0,9.2,-1.3,-3.0,3.2
4,0.57,1.0189,1.55,0.0,6.0,1.1,-3.0,5.8
7,0.45,1.018,0.99,0.0,1.8,4.2,-0.2,7.5
5,0.58,1.0143,1.37,0.0,4.3,4.8,2.0,8.5
5,0.68,1.0144,0.99,0.0,1.7,4.7,2.8,10.4
3,0.64,1.0109,2.01,0.0,9.8,7.9,2.5,15.8
6,0.53,1.0107,1.56,0.0,5.5,12.9,5.6,19.6
6,0.56,1.0075,0.53,0.0,0.0,13.1,11.0,17.1
4,0.58,1.0059,1.23,0.06,2.9,13.4,11.2,19.1
7,0.81,1.0144,0.54,0.31,0.0,6.0,3.8,11.5
8,0.77,1.0223,0.55,0.0,0.0,4.1,2.6,6.2
8,0.79,1.0256,0.55,0.02,0.0,4.3,1.9,5.2
7,0.72,1.0261,1.03,0.0,1.5,6.3,4.0,10.5
2,0.59,1.025,2.13,0.0,9.6,6.0,2.6,11.4
0,0.54,1.024,2.15,0.0,9.6,7.7,1.5,13.3
3,0.52,1.0237,2.03,0.0,8.4,8.4,3.2,14.3
6,0.5,1.0192,1.66,0.0,5.2,9.0,6.3,13.3
7,0.63,1.0134,1.51,0.19,4.0,8.5,4.2,12.0
5,0.71,1.0093,1.92,0.0,7.0,11.3,6.0,17.8
6,0.71,1.0037,1.37,0.48,3.0,13.7,9.1,20.6
6,0.56,1.0043,1.51,0.07,3.8,14.5,11.0,19.9
5,0.69,1.0082,2.08,0.16,8.0,13.1,7.6,19.1
7,0.77,1.0101,1.28,0.41,2.3,11.9,9.7,14.9
5,0.68,1.0118,2.21,0.55,8.8,12.0,7.4,17.7
7,0.74,1.0144,1.09,0.0,1.3,8.4,7.7,11.7
7,0.64,1.0152,0.63,0.0,0.0,8.3,6.6,10.7
8,0.78,1.0156,0.64,0.1,0.0,7.7,4.2,10.3
7,0.61,1.0219,0.73,0.0,0.1,10.0,7.6,12.8
1,0.51,1.0253,2.47,0.0,10.4,9.0,4.3,14.0
3,0.56,1.025,2.44,0.0,10.0,8.7,4.9,14.0
0,0.47,1.0199,2.52,0.0,10.6,14.8,5.4,22.5
6,0.56,1.0161,2.25,0.06,8.2,15.7,11.0,21.0
8,0.75,1.0156,1.68,0.19,4.0,13.0,10.4,19.5
4,0.67,1.0162,2.59,0.0,10.8,13.9,8.2,18.5
3,0.52,1.0162,2.56,0.0,10.4,18.1,12.0,22.4
2,0.46,1.0233,2.47,0.0,9.5,16.3,12.5,21.0
1,0.5,1.0181,2.56,0.0,10.2,15.8,8.3,22.2
2,0.45,1.013,2.46,0.0,9.2,16.6,10.4,21.4
4,0.73,1.0105,2.03,0.0,5.9,12.4,9.6,17.8
8,0.71,1.0097,1.94,0.0,5.2,13.5,7.2,19.4
6,0.58,1.014,1.77,0.0,4.1,15.1,11.7,21.1
5,0.52,1.0127,2.11,0.45,6.2,15.4,11.5,21.3
6,0.66,1.0121,1.97,0.0,5.2,13.2,11.2,17.3
7,0.68,1.0144,1.68,0.0,3.4,13.0,10.4,17.2
4,0.72,1.0123,2.2,0.5,6.6,11.1,8.9,18.6
8,0.68,1.011,1.3,0.0,1.5,10.9,6.9,14.1
5,0.58,1.0112,1.9,0.0,4.5,9.5,5.9,14.6
8,0.71,1.0111,0.99,0.38,0.4,6.6,4.7,12.1
2,0.64,1.0143,2.79,0.0,10.8,7.0,1.4,12.8
3,0.49,1.0155,2.9,0.77,11.6,11.1,1.5,15.4
8,0.88,1.0127,0.96,0.0,0.3,7.5,6.5,12.0
7,0.89,1.0121,1.05,0.26,0.5,8.4,4.4,11.8
7,0.83,1.0107,1.58,0.0,2.5,9.6,3.5,14.6
5,0.76,1.0097,2.11,0.27,5.0,11.7,6.1,17.5
8,0.72,1.0173,2.03,0.03,4.4,9.6,5.0,13.6
1,0.57,1.0256,3.01,0.0,11.8,9.7,5.6,15.8
8,0.6,1.0257,1.09,0.1,0.4,12.0,3.8,15.4
8,0.54,1.0198,0.78,0.57,0.0,12.2,9.6,14.3
8,0.74,1.0191,0.79,0.0,0.0,10.0,7.2,13.8
8,0.75,1.0185,1.15,0.0,0.5,10.4,7.4,11.9
8,0.77,1.0184,0.79,0.04,0.0,11.7,9.0,14.5
6,0.8,1.0174,1.01,0.0,0.2,13.4,9.3,17.0
6,0.8,1.0163,1.98,0.41,3.8,13.6,10.8,19.7
3,0.69,1.015,2.91,0.01,10.2,15.4,8.7,21.4
1,0.59,1.0155,3.22,0.0,12.8,16.8,9.7,22.7
1,0.53,1.0176,3.21,0.0,12.7,15.7,8.5,22.4
5,0.73,1.0186,1.03,0.1,0.2,13.7,11.5,16.2
3,0.69,1.0212,2.99,0.0,10.6,15.1,7.4,22.3
1,0.52,1.0199,3.23,0.01,12.6,19.1,9.0,24.2
3,0.61,1.0157,2.85,0.0,9.4,22.6,15.7,28.5
6,0.46,1.0147,2.85,0.03,9.3,24.6,18.8,31.4
3,0.37,1.0132,2.62,0.0,7.5,27.2,21.5,32.3
7,0.57,1.0117,1.2,0.45,0.5,21.0,16.0,29.0
2,0.67,1.0154,3.14,0.0,11.5,18.6,15.0,23.5
3,0.54,1.0123,3.22,0.0,12.2,22.6,13.6,28.0
4,0.61,1.0152,2.61,0.0,7.3,19.2,15.2,23.2
5,0.64,1.0191,3.21,0.0,12.0,17.9,10.5,22.8
1,0.58,1.0191,3.2,0.0,11.8,18.5,10.7,24.8
5,0.47,1.0194,2.6,0.0,7.1,16.7,12.5,21.3
