MADRID_cloud_cover,MADRID_humidity,MADRID_pressure,MADRID_global_radiation,MADRID_precipitation,MADRID_sunshine,MADRID_temp_mean,MADRID_temp_min,MADRID_temp_max
6,0.92,1.026,0.53,0.0,1.4,7.6,4.4,10.8
7,0.86,1.0254,0.46,0.0,0.9,9.8,7.4,12.2
5,0.9,1.0287,0.63,0.0,2.3,8.6,6.4,10.8
0,0.75,1.0281,1.16,0.0,8.7,10.3,4.5,16.1
2,0.64,1.0269,1.1,0.0,7.8,12.1,8.2,16.0
4,0.74,1.0232,1.0,0.0,6.4,10.1,6.0,14.2
6,0.82,1.0192,0.69,0.0,2.8,7.8,5.6,10.0
8,0.77,1.0137,0.3,0.0,0.0,7.6,6.4,8.8
5,0.69,1.0075,0.94,0.0,5.4,7.4,4.8,10.0
8,0.79,1.0019,0.3,0.98,0.0,2.7,0.2,5.2
8,0.81,1.0049,0.74,0.0,3.1,-2.3,-5.0,0.4
1,0.63,1.0195,1.18,0.0,8.3,0.5,-5.0,6.0
4,0.7,1.0198,1.17,0.0,8.1,5.6,3.0,8.2
6,0.76,1.0094,0.93,0.12,5.0,2.8,-2.0,7.6
4,0.5,1.015,1.12,0.0,7.2,0.5,-3.5,4.5
3,0.48,1.0172,0.87,0.0,4.2,0.0,-3.1,3.1
5,0.56,1.023,1.0,0.0,5.6,2.2,-2.0,6.4
6,0.72,1.0247,0.59,0.16,1.5,0.9,-2.5,4.3
7,0.92,1.0237,0.51,0.0,0.9,5.7,1.8,9.6
8,0.9,1.0328,0.32,0.02,0.0,5.5,4.6,6.4
8,0.88,1.0312,0.33,0.0,0.0,3.9,2.6,5.2
7,0.92,1.0292,0.37,0.03,0.1,3.5,2.0,5.0
8,0.86,1.0249,0.73,0.21,2.4,6.2,2.0,10.4
7,0.9,1.0151,0.45,0.73,0.4,9.9,7.9,11.9
7,0.88,1.0187,0.34,0.61,0.0,7.3,5.4,9.2
8,0.93,1.0082,0.34,2.93,0.0,8.0,6.4,9.6
8,0.91,1.0047,0.44,0.62,0.3,7.6,6.2,9.0
7,0.86,1.0142,0.77,0.03,2.5,7.4,5.0,9.8
4,0.66,1.0263,1.33,0.0,8.3,7.0,4.0,10.0
0,0.62,1.0307,1.37,0.0,8.6,4.5,0.5,8.5
3,0.82,1.0301,1.34,0.0,8.1,4.5,0.5,8.5
1,0.83,1.0333,1.36,0.0,8.2,4.9,0.2,9.6
8,0.84,1.0335,0.65,0.0,1.3,4.0,1.0,7.0
8,0.88,1.0278,0.57,0.0,0.8,4.6,1.2,8.0
8,0.84,1.0267,0.52,0.0,0.5,6.1,3.8,8.4
8,0.9,1.023,0.38,0.97,0.0,5.8,4.5,7.1
6,0.88,1.0189,0.38,0.1,0.0,6.5,3.6,9.4
1,0.55,1.0221,1.49,0.0,8.8,4.1,0.9,7.3
7,0.62,1.0204,0.99,0.0,3.6,1.0,-1.1,3.1
5,0.7,1.0202,1.06,0.0,4.2,1.0,-2.0,4.0
8,0.82,1.0151,0.4,1.16,0.0,2.2,1.0,3.4
7,0.8,1.0043,1.16,0.04,4.9,3.5,1.5,5.5
7,0.88,1.0036,0.85,0.15,2.2,4.1,1.9,6.3
7,0.84,1.0061,1.01,0.27,3.4,5.0,1.9,8.1
8,0.82,1.0046,0.83,0.01,2.0,6.2,3.9,8.5
8,0.68,1.0128,0.94,0.1,2.7,6.4,3.5,9.3
8,0.91,1.012,0.43,1.44,0.0,8.5,5.5,11.5
8,0.84,0.9999,1.18,0.72,4.5,12.4,9.8,15.0
7,0.82,0.9993,0.93,0.24,2.4,10.8,8.4,13.2
5,0.65,1.0096,1.42,0.3,6.4,7.3,4.5,10.1
6,0.74,1.0193,0.66,0.83,0.7,6.1,2.6,9.6
6,0.88,1.0095,1.02,1.06,2.9,8.1,5.4,10.8
7,0.82,1.0048,1.38,0.08,5.7,6.5,3.8,9.2
4,0.7,1.0166,1.84,0.0,10.0,8.9,5.6,12.2
8,0.74,1.0154,0.84,0.04,1.5,9.1,6.4,11.8
5,0.72,1.0153,1.72,0.0,8.5,11.2,7.2,15.2
5,0.8,1.0226,1.3,0.0,4.6,10.4,5.5,15.3
5,0.78,1.0268,1.73,0.0,8.3,13.2,8.0,18.4
7,0.6,1.0234,1.85,0.0,9.3,16.4,10.8,22.0
4,0.6,1.0218,1.77,0.0,8.4,12.4,8.6,16.2
7,0.68,1.0255,1.41,0.0,5.1,9.2,4.7,13.7
1,0.6,1.026,2.04,0.0,9.9,11.2,5.2,17.2
3,0.52,1.031,2.09,0.0,10.2,11.9,5.0,18.8
1,0.46,1.0277,2.06,0.0,9.8,13.2,5.9,20.5
5,0.53,1.0198,1.98,0.0,9.0,13.5,6.8,20.2
5,0.63,1.013,1.32,0.03,4.1,10.1,7.2,13.0
6,0.67,1.0132,1.65,0.0,6.3,10.0,6.6,13.4
8,0.86,1.005,0.74,0.29,0.7,10.7,8.6,12.8
7,0.72,0.999,1.28,0.03,3.6,9.3,7.0,11.6
6,0.76,1.0021,1.72,0.0,6.5,7.7,4.5,10.9
7,0.77,1.0106,1.48,0.19,4.8,7.0,3.5,10.5
8,0.81,1.0091,1.22,0.22,3.1,9.2,5.6,12.8
8,0.84,1.0087,0.56,0.39,0.0,6.9,5.0,8.8
8,0.82,1.0007,0.97,0.23,1.6,8.9,5.8,12.0
5,0.72,1.0056,1.96,0.0,7.7,9.0,5.0,13.0
3,0.49,1.0177,2.31,0.0,10.2,9.5,5.4,13.6
6,0.62,1.0219,1.83,0.0,6.6,11.6,7.4,15.9
7,0.66,1.0229,1.97,0.0,7.5,13.8,7.9,19.7
5,0.59,1.0202,2.17,0.0,8.8,14.8,8.6,21.0
0,0.52,1.017,2.46,0.0,10.8,16.0,10.2,21.8
4,0.54,1.0129,2.36,0.0,10.0,15.9,9.8,22.0
8,0.54,1.0139,1.03,0.0,1.6,10.4,6.5,14.3
8,0.62,1.0144,0.61,0.13,0.0,9.2,6.7,11.7
8,0.78,1.0089,0.73,0.38,0.3,11.8,9.2,14.4
7,0.82,1.006,1.33,0.81,3.0,8.9,6.0,11.8
8,0.85,0.9996,0.88,1.32,0.8,9.3,6.4,12.2
7,0.8,0.9988,1.39,0.16,3.2,9.2,6.4,12.0
6,0.66,1.0029,1.45,0.0,3.5,10.2,7.2,13.2
5,0.62,1.0111,2.15,0.21,7.7,7.8,3.6,12.0
6,0.7,1.0144,2.28,0.03,8.5,8.7,4.5,12.9
4,0.56,1.018,2.22,0.0,8.0,8.0,4.0,12.0
4,0.49,1.0195,2.63,0.0,10.7,9.0,3.9,14.1
7,0.64,1.0147,1.22,0.21,2.1,9.8,4.0,15.6
7,0.75,1.0141,1.35,0.0,2.7,11.7,8.0,15.4
5,0.74,1.02,2.45,0.0,9.2,14.6,9.8,19.4
5,0.66,1.0179,2.48,0.0,9.3,14.4,8.3,20.5
7,0.55,1.0156,2.17,0.0,7.2,15.5,9.5,21.5
6,0.43,1.0118,1.95,0.0,5.8,15.7,10.2,21.2
3,0.49,1.0166,2.74,0.0,10.8,17.1,10.2,24.0
1,0.46,1.0174,2.71,0.0,10.5,17.7,10.4,25.0
1,0.52,1.0184,2.81,0.0,11.1,18.3,11.6,25.0
0,0.48,1.0178,2.85,0.0,11.3,15.0,8.0,22.0
4,0.36,1.0271,2.76,0.0,10.6,12.1,6.5,17.7
5,0.41,1.0252,2.32,0.0,7.7,14.1,6.7,21.5
4,0.57,1.0225,2.62,0.0,9.5,14.9,9.0,20.8
2,0.38,1.0211,2.8,0.0,10.6,12.9,6.9,18.9
3,0.4,1.017,3.12,0.0,12.7,14.0,7.5,20.5
0,0.38,1.0153,3.13,0.0,12.7,12.3,6.6,18.0
0,0.39,1.0179,3.13,0.0,12.6,9.3,2.5,16.1
2,0.43,1.0168,2.83,0.0,10.5,11.2,5.5,16.9
7,0.42,1.0179,1.6,0.02,3.3,7.7,3.2,12.2
4,0.47,1.0175,2.99,0.05,11.4,12.3,5.8,18.8
4,0.56,1.0169,2.98,0.01,11.3,13.5,7.4,19.6
2,0.51,1.0146,2.66,0.0,9.2,15.2,9.3,21.1
0,0.38,1.0137,3.08,0.0,11.8,15.9,9.8,22.0
0,0.38,1.0145,3.2,0.0,12.5,14.6,8.0,21.2
0,0.36,1.0148,3.24,0.0,12.7,15.5,9.0,22.0
6,0.4,1.0145,2.97,0.0,10.9,14.6,8.5,20.7
1,0.35,1.0151,3.01,0.0,11.1,14.5,8.8,20.2
0,0.23,1.0167,3.25,0.0,12.8,12.8,5.5,20.1
6,0.37,1.0099,2.49,1.7,7.8,13.4,7.0,19.8
8,0.88,1.0112,0.79,0.69,0.0,7.9,6.6,9.2
2,0.52,1.0171,3.32,0.0,12.8,11.4,5.6,17.2
2,0.5,1.0186,3.12,0.0,11.3,13.1,6.5,19.7
5,0.54,1.0197,2.97,0.0,10.2,14.1,7.7,20.5
6,0.47,1.0183,2.37,0.0,6.4,16.3,10.8,21.8
2,0.29,1.0176,3.39,0.0,13.0,16.2,9.8,22.6
0,0.42,1.0166,3.37,0.0,12.8,17.0,10.5,23.5
4,0.44,1.0129,2.98,0.0,10.1,18.9,11.8,26.0
7,0.46,1.0101,3.34,0.0,12.5,20.1,13.0,27.2
4,0.38,1.0085,2.44,0.0,6.6,19.8,15.3,24.3
7,0.56,1.0097,2.16,0.85,5.0,15.5,11.5,19.5
7,0.8,1.0114,2.03,0.01,4.3,13.8,10.0,17.6
8,0.81,1.0142,0.82,0.05,0.0,13.4,11.6,15.2
7,0.7,1.013,2.69,0.0,8.0,16.3,11.5,21.1
7,0.83,1.0162,1.24,1.04,0.9,14.4,12.2,16.6
5,0.64,1.0143,3.02,0.0,11.4,14.9,9.4,20.4
8,0.8,1.0097,1.3,1.76,1.1,13.5,10.0,17.0
5,0.75,1.0098,2.92,0.0,9.3,10.5,6.9,14.1
7,0.74,1.0156,2.0,0.0,4.0,11.3,6.7,15.9
4,0.56,1.0189,3.3,0.0,11.7,14.5,8.8,20.2
6,0.66,1.0167,3.0,0.0,9.7,15.7,10.0,21.4
4,0.52,1.0173,3.52,0.0,13.2,17.2,11.0,23.4
1,0.54,1.0191,3.58,0.0,13.6,19.1,13.0,25.2
5,0.48,1.0206,3.28,0.0,11.5,20.9,14.2,27.6
1,0.44,1.02,3.63,0.0,13.9,23.4,17.8,29.0
1,0.46,1.019,3.62,0.0,13.8,24.1,17.6,30.6
4,0.52,1.0157,3.08,0.12,10.1,25.8,19.7,31.9
4,0.59,1.0141,3.5,0.0,12.9,21.9,16.0,27.8
1,0.45,1.0137,3.62,0.0,13.7,21.8,15.6,28.0
4,0.4,1.0114,3.44,0.0,12.4,22.9,16.2,29.6
7,0.73,1.0157,1.8,1.07,2.9,19.0,15.7,22.3
6,0.71,1.0171,2.92,0.72,9.9,19.2,13.4,25.0
5,0.62,1.0159,2.66,0.24,8.4,19.8,14.5,25.1
6,0.55,1.014,3.19,0.0,11.5,19.1,13.4,24.8
6,0.65,1.0133,2.59,1.19,8.0,19.9,14.5,25.3
7,0.86,1.0124,2.63,0.51,8.2,18.7,15.0,22.4
7,0.69,1.0166,1.96,0.0,4.7,17.7,14.0,21.4
7,0.64,1.0193,2.1,0.0,5.4,17.0,12.5,21.5
5,0.62,1.0164,2.56,0.0,7.8,18.9,14.2,23.6
6,0.6,1.0137,3.07,0.0,10.7,20.0,14.0,26.0
5,0.49,1.0147,3.51,0.0,13.4,22.2,15.9,28.5
2,0.5,1.0183,3.4,0.0,12.7,23.4,16.4,30.4
6,0.53,1.0157,2.92,0.04,9.8,23.2,17.3,29.1
2,0.51,1.0117,3.58,0.0,13.8,22.1,16.9,27.3
5,0.52,1.0138,2.8,0.0,9.1,20.0,13.8,26.2
2,0.41,1.0205,3.66,0.0,14.3,21.4,15.6,27.2
1,0.4,1.0227,3.61,0.0,14.0,23.4,17.0,29.8
1,0.42,1.0214,3.66,0.0,14.3,24.5,18.6,30.4
0,0.38,1.0211,3.65,0.0,14.2,23.7,17.0,30.4
1,0.4,1.0192,3.58,0.0,13.8,25.7,18.0,33.4
3,0.34,1.0173,3.32,0.0,12.2,28.0,21.4,34.6
3,0.36,1.0135,3.04,0.0,11.4,29.3,23.0,35.6
2,0.32,1.0121,3.4,0.0,12.7,28.0,21.7,34.3
3,0.32,1.0127,3.66,0.0,14.3,25.8,20.0,31.6
4,0.39,1.0125,3.61,0.0,14.0,23.9,18.5,29.3
1,0.41,1.0151,3.69,0.0,14.5,20.7,15.4,26.0
1,0.35,1.0173,3.69,0.0,14.5,20.0,13.7,26.3
3,0.39,1.017,3.45,0.0,13.0,23.2,17.0,29.4
5,0.42,1.0144,2.86,0.0,9.5,25.0,18.8,31.2
4,0.4,1.01,2.89,0.0,9.7,24.4,18.0,30.8
5,0.43,1.0096,3.03,0.0,10.5,22.6,18.0,27.2
3,0.37,1.0099,3.5,0.0,13.4,20.9,15.0,26.8
4,0.37,1.0091,3.41,0.0,12.8,21.5,16.0,27.0
5,0.51,1.0137,2.9,0.0,9.8,19.2,14.6,23.8
3,0.35,1.0174,3.53,0.0,13.6,20.8,14.0,27.6
0,0.4,1.0156,3.64,0.0,14.3,22.2,14.0,30.4
4,0.4,1.0108,3.56,0.0,13.8,25.4,18.8,32.0
5,0.38,1.0079,2.86,0.0,9.6,23.6,18.0,29.2
0,0.31,1.0135,3.65,0.0,14.4,19.7,13.8,25.6
0,0.35,1.016,3.63,0.0,14.3,21.6,14.8,28.4
0,0.27,1.0139,3.59,0.0,14.1,24.6,17.2,32.0
3,0.3,1.0147,2.99,0.0,11.3,24.1,19.5,28.7
1,0.35,1.02,3.47,0.0,13.4,21.1,14.5,27.7
4,0.39,1.0173,3.23,0.0,11.9,24.5,18.0,31.0
4,0.33,1.0135,3.35,0.0,12.7,24.3,18.0,30.6
5,0.35,1.0126,2.43,0.0,7.3,23.0,18.5,27.5
2,0.34,1.0155,3.46,0.0,13.4,22.3,16.2,28.4
